id,name,category,link,location
178,Laura Erickson (Alma),midwife,,Portland
179,Melissa Gordon Magnus & Liz Clary,Midwife,https://www.facebook.com/pages/Rose-City-Midwifery/325489438081729,Portland
180,Birth Babies and Beyond.,Midwife,https://www.facebook.com/Birth-Babies-and-Beyond-554250274658335/?hc_location=ufi,"Battleground, WA"
181,Rose city midwifery,Midwife,https://www.rosecitymidwifery.com/,Portland
182,Angela Beach-Hart,Midwife,,Portland
183,Naomi O'Callaghan,Midwife,,Portland
184,Kathleen Wirtz,Midwife,,Portland
185,Rosehip Midwifery,Midwife,http://rosehipmidwifery.com,Portland
186,Lynette Hawkins / Juice Plus,Nutrition,,Portland
187,Katharine Burton Jeffcoat - Portland Pediatric & Family Nutrition,Nutrition,https://www.facebook.com/katharine.jeffcoat?hc_location=ufi,Portland
188,Marie-Eve Gagnon - Slumber Time Solutions,Sleep consultant,https://www.facebook.com/slumbertimesolutions/?hc_location=ufi,Portland
189,Full Spectrum Doula Care,Belly binding,https://www.fullspectrumdoulacare.com/,Portland
190,Shira Fogel - Tiny Talkers-Baby Sign Language & Music,sign language,https://www.facebook.com/shirafogel?hc_location=ufi,Portland
191,Baby Nest Birth Services.,placenta encapsultation,https://www.facebook.com/babynestbirthservices/,Vancouver
192,Jasper Moon,placenta encapsultation,https://www.growingseason.care/,Portland
193,Full Spectrum Doula Care,placenta encapsultation,https://www.fullspectrumdoulacare.com/,Portland
194,Doula Love,placenta encapsultation,http://www.portlanddoulalove.com,Portland
195,The Bhakti Shop Yoga Center,prenatal / postnatal yoga,https://www.thebhaktishop.com/prepost-natal-yoga-and-birth-prep,Portland
196,The Bhakti Shop Yoga Center,mama & baby yoga,https://www.thebhaktishop.com/prepost-natal-yoga-and-birth-prep,Portland
197,Doula Love,prenatal / postnatal yoga,http://www.portlanddoulalove.com/,Portland
198,Full Spectrum Doula Care,bereavement support,https://www.fullspectrumdoulacare.com/,Portland
199,Full Spectrum Doula Care,fertility support,https://www.fullspectrumdoulacare.com/,Portland
200,Doula Love,IVF support,http://www.portlanddoulalove.com/ivf-fertility-treatment-antenatal-doula-support/,Portland
201,Full Spectrum Doula Care,surrogacy support,https://www.fullspectrumdoulacare.com/,Portland
202,Full Spectrum Doula Care,termination support,https://www.fullspectrumdoulacare.com/,Portland
203,Milagros Boutique,baby wearing consultation,https://milagrosboutique.com/,Portland
204,Milagros Boutique,baby product consultation,https://milagrosboutique.com/,Portland
205,Milagros Boutique,cannabis use in pregnancy and breastfeeding,https://milagrosboutique.com/,Portland
206,Milagros Boutique,potty training,https://milagrosboutique.com/,Portland
207,Milagros Boutique,Going back to work / lactation,https://milagrosboutique.com/,Portland
208,Milagros Boutique,cloth diapering,https://milagrosboutique.com/,Portland
209,Milagros Boutique,Baby supplies,https://milagrosboutique.com/,Portland
210,Milagros Boutique,Baby Registry,https://milagrosboutique.com/,Portland
211,WombPDX,Postpartum gift registry,https://www.wombpdx.com/?fbclid=IwAR13eJRGksg_AdQBrJP8MywcsyAMJkX4P0j2TlFasDZOIy-bJvXjN3L9zYA,Portland
